0,0,0,0,0,0,0,0,0,0,---
3,3,3,3,3,3,3,3,3,123,---
2,2,2,2,2,2,2,2,2,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
2,2,2,2,2,2,2,2,2,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
2,2,2,2,2,2,2,2,2,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,2,2,2,2,2,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,2,2,2,2,2,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
2,2,2,2,2,2,2,2,2,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,2,2,2,2,2,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,2,2,2,2,2,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
2,2,2,2,2,2,2,2,2,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
2,2,2,2,2,2,2,2,2,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,2,2,2,2,2,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,2,2,2,2,2,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
2,2,2,2,2,2,2,2,2,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,2,2,2,2,2,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,2,2,2,2,2,12,---
0,0,0,0,0,0,0,0,0,0,---
3,3,3,3,3,3,3,3,3,123,---
3,3,3,3,3,3,3,3,3,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
1,1,1,1,1,1,1,1,1,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
1,1,1,1,1,1,1,1,1,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,1,1,1,1,1,1,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,1,1,1,1,1,1,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
1,1,1,1,1,1,1,1,1,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,1,1,1,1,1,1,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,1,1,1,1,1,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
1,1,1,1,1,1,1,1,1,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
1,1,1,1,1,1,1,1,1,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,1,1,1,1,1,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,1,1,1,1,1,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,123,---
2,2,1,1,1,1,1,1,1,123,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,1,1,1,1,1,12,---
0,0,0,0,0,0,0,0,0,0,---
1,1,1,1,1,1,1,1,1,12,---
2,2,2,2,1,1,1,1,1,12,---
0,0,0,0,0,0,0,0,0,0,---
